Area;Year;Population;Violent-crime-number;Violent-crime-number-rate;Murder-and-nonnegligent-manslaughter;Murder-and-nonnegligent-manslaughter-rate;Rape;Rape-rate;Robbery;Robbery-rate;Aggravated-assault;Aggravated-assault-rate;Property-crime;Property-crime-rate;Burglary;Burglary-rate;Larceny-theft;Larceny-theft-rate;Motor-vehicle-theft;Motor-vehicle-theft-rate;
Connecticut;2009;3518288;10588;300,9;106;3,0;657;18,7;4001;113,7;5824;165,5;82625;2348,4;15172;431,2;59992;1705,1;7461;212,1;
Connecticut;2010;3574097;10057;281,4;130;3,6;583;16,3;3553;99,4;5791;162,0;78386;2193,2;15172;424,5;56507;1581,0;6707;187,7;
Connecticut;2011;3586717;9889;275,7;129;3,6;689;19,2;3689;102,9;5382;150,1;77205;2152,5;15468;431,3;55067;1535,3;6670;186,0;
Connecticut;2012;3590347;10160;283,0;146;4,1;919;25,6;3687;102,7;5408;150,6;76834;2140,0;14711;409,7;55674;1550,7;6449;179,6;
Connecticut;2013;3599341;9439;262,2;91;2,5;647;18,0;3551;98,7;4906;136,3;71274;1980,2;12934;359,3;52099;1447,5;6241;173,4;
Connecticut;2014;3596677;8522;236,9;86;2,4;571;15,9;3159;87,8;4495;125,0;69070;1920,4;11955;332,4;51005;1418,1;6110;169,9;
Connecticut;2015;3590886;7845;218,5;117;3,3;582;16,2;2892;80,5;4063;113,1;65066;1812,0;10053;280,0;48675;1355,5;6338;176,5;
Maine;2009;1318301;1580;119,9;26;2,0;375;28,4;399;30,3;780;59,2;31706;2405,1;6729;510,4;23955;1817,1;1022;77,5;
Maine;2010;1328361;1621;122,0;24;1,8;389;29,3;414;31,2;794;59,8;32934;2479,3;7359;554,0;24585;1850,8;990;74,5;
Maine;2011;1328544;1638;123,3;26;2,0;394;29,7;370;27,9;848;63,8;33829;2546,3;7865;592,0;24886;1873,2;1078;81,1;
Maine;2012;1329192;1631;122,7;25;1,9;372;28,0;423;31,8;811;61,0;33361;2509,9;7461;561,3;24905;1873,7;995;74,9;
Maine;2013;1328702;1761;132,5;24;1,8;366;27,5;335;25,2;907;68,3;30454;2292,0;6480;487,7;23063;1735,8;911;68,6;
Maine;2014;1330089;1700;127,8;21;1,6;360;27,1;304;22,9;890;66,9;26421;1986,4;5030;378,2;20592;1548,2;799;60,1;
Maine;2015;1329328;1729;130,1;23;1,7;354;26,6;311;23,4;921;69,3;24327;1830,0;4684;352,4;18829;1416,4;814;61,2;
Massachusetts;2009;6593587;30503;462,6;173;2,6;1734;26,3;7467;113,2;21129;320,4;153178;2323,1;34515;523,5;106799;1619,7;11864;179,9;
Massachusetts;2010;6547629;30553;466,6;210;3,2;1745;26,7;6874;105,0;21724;331,8;153905;2350,5;37767;576,8;104685;1598,8;11453;174,9;
Massachusetts;2011;6607003;28232;427,3;184;2,8;1654;25,0;6768;102,4;19626;297,0;148829;2252,6;36403;551,0;101644;1538,4;10782;163,2;
Massachusetts;2012;6646144;26953;405,5;121;1,8;1642;24,7;6552;98,6;18638;280,4;143089;2153,0;34540;519,7;99317;1494,4;9232;138,9;
Massachusetts;2013;6708874;27264;406,4;138;2,1;1722;25,7;6705;99,9;18118;270,1;137274;2046,2;30716;457,8;97437;1452,4;9121;136,0;
Massachusetts;2014;6745408;26399;391,4;132;2,0;1629;24,1;6036;89,5;18051;267,6;125267;1857,1;24964;370,1;92043;1364,5;8260;122,5;
Massachusetts;2015;6794422;26562;390,9;128;1,9;1608;23,7;5288;77,8;19071;280,7;114871;1690,7;21890;322,2;84912;1249,7;8069;118,8;
New Hampshire;2009;1324575;2125;160,4;11;0,8;399;30,1;454;34,3;1261;95,2;28790;2173,5;4915;371,1;22748;1717,4;1127;85,1;
